"Column1","country","number","Latitude","Longitude"
"29","AR","4","36°30'S","60°00'W"
"9","AT","19","48°12'N","16°22'E"
"16","AU","11","35°15'S","149°08'E"
"59","AZ","1","40°29'N","49°56'E"
"38","BA","2","43°52'N","18°26'E"
"75","BD","1","23°43'N","90°26'E"
"17","BE","9","50°51'N","04°21'E"
"49","BG","1","42°45'N","23°20'E"
"69","BR","1","15°47'S","47°55'W"
"28","BY","4","53°52'N","27°30'E"
"11","CA","18","45°27'N","75°42'W"
"12","CH","17","46°57'N","07°28'E"
"42","CL","2","33°24'S","70°40'W"
"14","CN","13","39°55'N","116°20'E"
"39","CO","2","04°34'N","74°00'W"
"50","CR","1","09°55'N","84°02'W"
"74","CY","1","35°10'N","33°25'E"
"22","CZ","6","50°05'N","14°22'E"
"2","DE","88","52°30'N","13°25'E"
"15","DK","12","55°41'N","12°34'E"
"36","DZ","3","36°42'N","03°08'E"
"24","EG","6","30°01'N","31°14'E"
"21","ES","7","40°25'N","03°45'W"
"37","FI","3","60°15'N","25°03'E"
"3","FR","56","48°50'N","02°20'E"
"1","GB","101","51°36'N","00°05'W"
"66","GH","1","05°35'N","00°06'W"
"68","GP","1","16°00'N","61°44'W"
"52","GR","1","37°58'N","23°46'E"
"47","GT","2","14°40'N","90°22'W"
"54","HR","1","45°50'N","15°58'E"
"18","HU","9","47°29'N","19°05'E"
"71","ID","1","06°09'S","106°49'E"
"27","IE","5","53°21'N","06°15'W"
"23","IL","6","31°47'N","35°12'E"
"20","IN","8","28°37'N","77°13'E"
"45","IR","2","35°44'N","51°30'E"
"61","IS","1","64°10'N","21°57'W"
"8","IT","20","41°54'N","12°29'E"
"7","JP","28","36° 00' N","138° 00' E"
"57","KE","1","01°17'S","36°48'E"
"40","KR","2","37°31'N","126°58'E"
"48","LC","2","14°02'N","60°58'W"
"41","LR","2","06°18'N","10°47'W"
"31","LT","3","54°38'N","25°19'E"
"43","LU","2","49°37'N","06°09'E"
"63","LV","1","56°53'N","24°08'E"
"44","MA","2","32° 00 N ","05° 00 W"
"56","MG","1","18°55'S","47°31'E"
"72","MK","1","47.26' N","21° 25' E"
"55","MM","1","16°45'N","96°20'E"
"34","MX","3","19°20'N","99°10'W"
"73","NG","1","09°05'N","07°32'E"
"10","NL","19","52°23'N","04°54'E"
"13","NO","13","59°55'N","10°45'E"
"35","NZ","3","41°19'S","174°46'E"
"62","PE","1","12°00'S","77°00'W"
"30","PK","4","33°40'N","73°10'E"
"6","PL","30","52°13'N","21°00'E"
"32","PT","3","38°42'N","09°10'W"
"26","RO","5","44°27'N","26°10'E"
"4","RU","31","55°45'N","37°35'E"
"5","SE","30","59°20'N","18°03'E"
"64","SI","1","46°04'N","14°33'E"
"51","SK","1","46°04'N","14°33'E"
"46","TL","2","08°29'S","125°34'E"
"33","TR","3","39°57'N","32°54'E"
"60","TT","1","11° 12' N","61° 56' W"
"67","TW","1","39° 00' N","71° 00' E"
"25","UA","5","50°30'N","30°28'E"
"0","US","275","39°91'N","77°02'W"
"70","VE","1","10°30'N","66°55'W"
"65","VN","1","21°05'N","105°55'E"
"58","YE","1","15° 0' N","48° 0 ' E"
"19","ZA","9","25°44'S","28°12'E"
"53","ZW","1","17°43'S","31°02'E"
